UNITID,F2D01__last,F2D16__last,F2A02__last,F2A03__last,total_expenses__last,change_in_net_assets__last,expendable_net_assets__last,endowment_eoy__last,operating_margin__last,expenses_to_revenue__last,assets_to_liabilities__last,operating_margin__mean3,expenses_to_revenue__mean3,assets_to_liabilities__mean3,reported_field_count__mean3,F2D16__slope,total_expenses__slope,expendable_net_assets__slope,F2D16__pct3,total_expenses__pct3,expendable_net_assets__pct3,log_F2D16,log_F2A02,log_F2A03,log_total_expenses,log_expendable_net_assets,log_endowment_eoy,tuition_dependence,total_enrollment__last,undergrad_enrollment__last,total_enrollment__slope,total_enrollment__pct3,undergrad_share__last,endowment_per_student,revenue_per_student,tuition_per_student,log_total_enrollment,closed_by_2024,as_of_year
215682,8137730,10482916,25560323.0,17887261.0,11730134.0,-1247218.0,0.0,,-0.1189762466855596,1.1189762466855595,1.428967967762085,0.0464617690712212,0.9587966552304524,1.734993693261517,7.818181818181818,507261.41818181175,396713.42727272864,-207103.46363636127,0.456918884421753,0.6055109045520299,-1.0,16.16525753782252,17.056551863449606,16.699599397377472,16.277671729514836,0.0,,0.7762849573534693,633.0,633.0,-21.999999999998465,-0.06499261447562776,1.0,,16560.688783570302,12855.813586097946,6.452048954437226,0,2019
215691,7719713,16144656,59629056.0,32991629.0,19117161.0,2972505.0,5944041.0,11604677.0,0.1841169610551008,1.1841169610551008,1.8073995679328232,0.0137991752774733,1.0153004515551751,2.928539210223218,8.0,-321144.51818182424,7299.536363633956,-1222488.3363636304,-0.194820568585992,0.0230061808488669,-0.6593960292062452,16.597099716981354,17.903653546786753,17.311764450895975,16.76609702360822,15.597899931303624,16.266918850644807,0.4781590267392504,1173.0,646.0,-56.9999999999984,-0.08857808857808858,0.5507246376811594,9893.160272804775,13763.56010230179,6581.170502983802,7.068172000388042,0,2019
215743,35405140,69786135,162289237.0,53698487.0,67532234.0,1297552.0,-4326835.0,60553787.0,0.0185932635472647,0.9677027392332302,3.0222310919113977,0.0285011284939636,0.969517803225264,3.357202933210153,8.0,612982.6454545439,567308.4909090863,-8726137.81818178,0.0543595111501634,0.1041990829450083,-1.0659409592701283,18.06094592336228,18.9048907209825,17.79889540265811,18.028115597404952,-15.280347116940325,17.919042585874465,0.507337739796021,3670.0,2893.0,-37.4999999999942,-0.020026702269692925,0.788283378746594,16499.669482288828,19015.295640326975,9647.17711171662,8.208219383496834,0,2019
215770,152758619,301242217,1492737545.0,618297711.0,280922922.0,54546466.0,374399943.0,454664777.0,0.181071785167482,0.9325483154308348,2.4142698872129578,0.1914499885794519,0.9225432617510884,2.795693992120573,8.0,3225194.063636541,7165135.254545521,971855.9636365464,0.2171604534404077,0.2787900979795121,0.1547799342113998,19.52342521007033,21.12387755036545,20.24248063405292,19.453590894298497,19.74083515299505,19.935070953732,0.5070956538604946,8805.0,5109.0,-645.4999999999728,-0.12787242472266244,0.5802385008517887,51637.11266325951,34212.63111868257,17349.07654741624,9.0831885863157,0,2019
215798,27734648,82428751,320476627.0,26883377.0,67188721.0,15240030.0,84861081.0,146740767.0,0.1848873095262598,0.8151126904737401,11.920995900180248,0.1359798098605742,0.8640201901394259,8.23735199193864,8.0,1289762.645454581,1414996.7272727415,-5403206.018181711,0.3557637981238267,0.3406876208218198,-0.3000965377760741,18.227444866055908,19.585319908109003,17.107018735366314,18.023015964027834,18.25652614806961,18.80417810498319,0.3364681335520903,1989.0,1765.0,18.49999999999947,0.018954918032786885,0.8873805932629462,73776.15233785822,41442.3081950729,13944.016088486676,7.595889917718538,0,2019
215929,100555275,204456785,647725637.0,169806585.0,174836994.0,29799998.0,251332057.0,319717006.0,0.1457520619821934,0.8551293320982231,3.8144906865655415,0.0727096376119194,0.9232526519305952,3.0961796787107088,8.0,494392.18181828543,1041823.0000000206,-6981938.590908873,0.1312241099639273,0.125051321214161,-0.099845860833749,19.135867195713463,20.288977766510097,18.950170617897346,18.97936464066916,19.34228556302069,19.582946809362124,0.4918167670493302,5922.0,3801.0,-84.00000000000047,-0.027586206896551724,0.6418439716312057,53988.01182033097,34524.95525160419,16979.95187436677,8.686598356276965,0,2019
215947,35317844,69460209,199021334.0,55882890.0,63510319.0,5949890.0,75980193.0,62915652.0,0.0856589705913496,0.9143410294086504,3.5614001709646725,0.0705363871081425,0.9294636128918576,3.4672229564338184,8.0,1383338.7000000132,1507213.0272727353,-1857394.73636358,0.2844050270492554,0.3384333125632399,-0.0766600723819861,18.05626462859841,19.10892258799735,17.838768826877345,17.966712970343067,18.145983259024,17.957305546037233,0.5084615279519242,3787.0,3259.0,32.99999999999592,0.017737167428110722,0.860575653551624,16613.586480063375,18341.750462107208,9326.074465275944,8.239593454305968,0,2019
215974,7425755,8124140,,,,,,,,,,,,,8.0,160777.90000000192,,,0.7520552435668504,,,15.910350557514072,,,,,,0.9140358240995354,409.0,409.0,46.999999999998124,0.2984126984126984,1.0,,19863.422982885084,18155.88019559902,6.016157159698354,0,2019
216047,3400760,23086106,101430453.0,4648028.0,11873834.0,10473722.0,49597451.0,19213651.0,0.4536807549961003,0.5143281417836338,21.822255158531743,0.3653054424276261,0.8766113108623688,21.618288213967432,8.0,990007.6272727092,-57353.21818181604,8160370.799999951,0.8206699586735211,0.094436417277184,25.554012083767223,16.95474156598988,18.434883939335457,15.351953816737105,16.289847797809184,17.71945001940788,16.771131625994318,0.1473076490249156,305.0,76.0,16.499999999999087,0.1213235294117647,0.24918032786885247,62995.57704918033,75692.15081967213,11150.032786885246,5.723585101952381,0,2019
216162,1888678,2211100,,,,,,,,,,,,,8.0,167506.6454545449,,,0.9773655099020304,,,14.609001139483723,,,,,,0.8541802722626747,355.0,355.0,50.999999999998344,0.4031620553359684,1.0,,6228.450704225352,5320.219718309859,5.87493073085203,0,2019
216278,36735573,115432040,376319209.0,54514261.0,87691914.0,27740126.0,197858233.0,225341330.0,0.2403156523959898,0.7596843476040102,6.903133273695116,0.0555953211475018,0.944404678852498,5.201966978412982,8.0,1660003.3818182617,1304467.2727272848,447065.1000000609,0.2271042869363264,0.1721789890680153,0.0764269702192443,18.564192525146638,19.745948303955068,17.813972913472515,18.28934026381108,19.10306134231664,19.23312683731283,0.3182441634055848,2473.0,2469.0,51.49999999999673,0.043459915611814344,0.9983825313384553,91120.63485644966,46676.92680954307,14854.659522846745,7.813591552952433,0,2019
