rank,UNITID,INSTNM,state,risk_score,driver_1,driver_2,driver_3,operating_margin,endowment_per_student,total_enrollment,enrollment_3yr_pct
121,451866,Remington College-Shreveport Campus,LA,0.25076452599388377,expendable net assets,3-yr avg assets-to-liabilities,endowment EOY,0.2720750948483624,,518.0,-0.075
122,442976,Brighton Center's Center for Employment Training,KY,0.25076452599388377,3-yr enrollment % change,expendable net assets,endowment EOY,,,97.0,-0.3660130718954248
123,451398,Yeshiva Toras Chaim,NJ,0.25076452599388377,tuition per student,total assets,expendable net assets,-0.019251084387665,,258.0,0.0445344129554655
124,124283,Claremont School of Theology,CA,0.25076452599388377,total assets,3-yr avg expenses-to-revenue,total liabilities,-0.4015581752506437,41186.99581589958,239.0,-0.1494661921708185
125,483647,Ohio Institute of Allied Health,OH,0.25076452599388377,expendable net assets,endowment EOY,total assets,0.1799834157274937,,146.0,-0.0875
126,164915,Boston Graduate School of Psychoanalysis Inc,MA,0.25076452599388377,expendable net assets,total assets,tuition per student,0.2490141135894718,,187.0,0.0163043478260869
127,216162,St Lukes Hospital School of Nursing,PA,0.25076452599388377,undergrad enrollment,expendable net assets,endowment EOY,,,454.0,0.068235294117647
128,160524,Remington College-Lafayette Campus,LA,0.25076452599388377,expendable net assets,3-yr avg assets-to-liabilities,endowment EOY,0.2398087397605004,,421.0,-0.1646825396825396
129,127954,Montessori Education Center of the Rockies,CO,0.25076452599388377,expendable net assets,undergrad enrollment,endowment EOY,,,36.0,-0.1
130,164492,Anna Maria College,MA,0.25076452599388377,endowment EOY,total assets,3-yr avg operating margin,-0.1154608620423815,969.7215511760968,1573.0,-0.1460369163952226
131,215974,UPMC Shadyside School of Nursing,PA,0.25076452599388377,tuition dependence (tuition / total revenue),expendable net assets,total assets,,,779.0,0.7388392857142857
132,490513,Bais Medrash Mayan Hatorah,NJ,0.25076452599388377,expendable net assets,total assets,3-yr avg operating margin,-0.2381523529312966,,53.0,-0.2318840579710145
133,196431,Talmudical Seminary Oholei Torah,NY,0.25076452599388377,tuition per student,expendable net assets,total assets,-0.0060864492223171,,360.0,-0.1855203619909502
134,197018,United Talmudical Seminary,NY,0.25076452599388377,3-yr enrollment % change,tuition per student,endowment EOY,0.0156979472656355,,2006.0,-0.349335063250081
135,114549,Fielding Graduate University,CA,0.25076452599388377,endowment EOY,tuition per student,total assets,-0.055263919998648,7919.745203376823,1303.0,-0.0926183844011142
136,376385,Universal Technology College of Puerto Rico,PR,0.25076452599388377,expendable net assets,endowment EOY,total assets,-0.1134970607691686,,538.0,0.4540540540540541
137,386153,Seminar L'moros Bais Yaakov,NY,0.25076452599388377,expendable net assets,total assets,endowment EOY,-0.3900228669500647,,373.0,-0.2180293501048218
138,405854,Rabbinical College of Ohr Shimon Yisroel,NY,0.25076452599388377,tuition per student,total assets,endowment EOY,0.049156025618256,,240.0,0.0572687224669603
139,480569,Florida Institute of Technology-Online,FL,0.25076452599388377,3-yr enrollment % change,tuition dependence (tuition / total revenue),expendable net assets,,,1835.0,-0.3119610048743907
140,475200,Whitworth University-Adult Degree Programs,WA,0.25076452599388377,expendable net assets,endowment EOY,3-yr expendable net assets % change,,,213.0,-0.1931818181818181
141,236133,Northwest University,WA,0.25076452599388377,expendable net assets,tuition per student,endowment EOY,-0.0473770644191739,10992.537313432837,1072.0,-0.1066666666666666
142,363712,Yeshivah Gedolah Rabbinical College,FL,0.25076452599388377,expendable net assets,endowment EOY,total liabilities,0.0175189824649647,,71.0,0.3653846153846153
143,475033,Relay Graduate School of Education,NY,0.25076452599388377,3-yr enrollment % change,tuition per student,undergrad enrollment,0.0266354774674288,,2477.0,-0.4988873153955088
144,384306,Acupuncture and Integrative Medicine College-Berkeley,CA,0.25076452599388377,total assets,expendable net assets,endowment EOY,0.0017836552159634,,177.0,0.2291666666666666
145,155496,Manhattan Christian College,KS,0.25076452599388377,3-yr enrollment % change,endowment EOY,total assets,-0.1309481019026958,32683.51948051948,154.0,-0.3556485355648535
146,237145,B M Spurr School of Practical Nursing,WV,0.25076452599388377,tuition & fees,expendable net assets,endowment EOY,,,31.0,0.1923076923076923
147,487658,Academy of Interactive Entertainment,LA,0.25076452599388377,tuition per student,expendable net assets,revenue per student,-0.1976895024821961,,92.0,-0.1320754716981132
148,215682,Rosedale Technical College,PA,0.25076452599388377,expendable net assets,tuition per student,total assets,-0.1189762466855596,,583.0,-0.157514450867052
149,231785,Bryant & Stratton College-Virginia Beach,VA,0.25076452599388377,tuition dependence (tuition / total revenue),expendable net assets,total assets,-0.2648758599618902,,2239.0,0.1643265730629225
150,232885,Sentara College of Health Sciences,VA,0.25076452599388377,expendable net assets,total assets,3-yr expendable net assets % change,-1.1278252712372392,,425.0,-0.074074074074074
151,233611,Southern Virginia University,VA,0.25076452599388377,total assets,tuition per student,expendable net assets,0.0681141584596419,1770.4255924170616,1055.0,-0.1633624107850912
152,227429,Paul Quinn College,TX,0.25076452599388377,3-yr enrollment % change,endowment EOY,expendable net assets,-0.0136892849432015,6556.97293814433,776.0,-0.3234524847428073
153,217606,Northpoint Bible College,MA,0.25076452599388377,3-yr enrollment % change,expendable net assets,expenses-to-revenue ratio,-0.4972893225497125,5233.5704697986575,149.0,-0.41796875
154,228486,Southwestern Christian College,TX,0.25076452599388377,expendable net assets,total assets,3-yr expendable net assets % change,-0.1939711400691622,,145.0,0.2946428571428571
155,486017,Yeshiva Ohr Yisrael,NY,0.25076452599388377,3-yr enrollment % change,expendable net assets,total assets,0.1058561356205705,,17.0,-0.4848484848484848
156,124487,Epic Bible College & Graduate School,CA,0.25076452599388377,expendable net assets,operating margin,total liabilities,-0.7773223243571015,,158.0,-0.2547169811320754
157,215594,Reading Hospital School of Health Sciences,PA,0.18886466098902305,tuition dependence (tuition / total revenue),endowment EOY,expendable net assets,,,329.0,0.0
158,206491,Wilberforce University,OH,0.18181818181818182,expendable net assets,total assets,3-yr avg expenses-to-revenue,0.227631805249656,10187.23098995696,697.0,-0.1166032953105196
159,192800,Marion S Whelan School of Nursing of Geneva General Hospital,NY,0.18181818181818182,3-yr enrollment % change,endowment EOY,expendable net assets,,,16.0,-0.3043478260869565
160,193380,Montefiore School of Nursing,NY,0.18181818181818182,expendable net assets,total assets,endowment EOY,,,151.0,-0.0194805194805194
161,490489,Metro Detroit Barber College,MI,0.18181818181818182,endowment EOY,expendable net assets,total enrollment,,,68.0,0.2142857142857142
162,491057,Yeshiva Kollel Tifereth Elizer,NY,0.18181818181818182,endowment EOY,total assets,expendable net assets,0.1268605864731142,,516.0,0.7551020408163265
163,194657,Rabbinical Academy Mesivta Rabbi Chaim Berlin,NY,0.18181818181818182,3-yr enrollment % change,total assets,expendable net assets,0.0075444606197369,,285.0,-0.5327868852459017
164,197744,Yeshivath Zichron Moshe,NY,0.18181818181818182,3-yr enrollment % change,expendable net assets,total assets,0.0258456354189239,,247.0,-0.2692307692307692
165,455220,Career School of NY,NY,0.18181818181818182,3-yr enrollment % change,expendable net assets,endowment EOY,,,232.0,2.3142857142857145
166,140720,Paine College,GA,0.18181818181818182,undergrad enrollment,total assets,3-yr expendable net assets % change,-0.0900408626279291,30709.781002638523,379.0,0.2549668874172185
167,455804,Institute of World Politics,DC,0.18181818181818182,endowment EOY,tuition per student,expendable net assets,0.1108174325729147,24287.314285714285,140.0,-0.1666666666666666
168,449506,SABER College,FL,0.18181818181818182,total assets,expendable net assets,endowment EOY,0.0157772635514791,,424.0,1.267379679144385
169,235547,Bastyr University,WA,0.18181818181818182,3-yr expendable net assets % change,expendable net assets,total assets,0.1830238837659419,856.5044943820225,890.0,0.050767414403778
170,235024,Cornish College of the Arts,WA,0.18181818181818182,expendable net assets,endowment EOY,3-yr revenue % change,-0.4778632627645141,24710.78612716763,519.0,0.1019108280254777
171,152381,Saint Mary-of-the-Woods College,IN,0.18181818181818182,assets-to-liabilities ratio,3-yr expendable net assets % change,total assets,0.0750892501838372,8040.484441301273,1414.0,0.1125098347757671
172,404718,Brillare Beauty Institute,TN,0.18181818181818182,expendable net assets,undergrad enrollment,endowment EOY,,,416.0,0.3040752351097178
173,439446,Atlantic Institute of Oriental Medicine,FL,0.18181818181818182,expendable net assets,total assets,total liabilities,-0.1786663535950945,,162.0,0.125
174,131830,National Conservatory of Dramatic Arts,DC,0.18181818181818182,expendable net assets,endowment EOY,total revenue,,,31.0,-0.1842105263157894
175,491622,Yeshiva Chemdas Hatorah,NJ,0.18181818181818182,expendable net assets,total assets,3-yr revenue % change,0.0645666062963616,,85.0,-0.086021505376344
176,490346,Elyon College,NY,0.18181818181818182,3-yr enrollment % change,expendable net assets,endowment EOY,0.0295536125769997,,40.0,-0.2982456140350877
177,174437,North Central University,MN,0.18181818181818182,endowment EOY,total assets,3-yr expendable net assets % change,-0.0375230552914725,4029.200701139352,1141.0,0.0391621129326047
178,215053,Pennsylvania College of Art and Design,PA,0.18181818181818182,expendable net assets,total assets,3-yr expendable net assets % change,-0.024994381103934,9950.935483870968,341.0,0.4090909090909091
179,488679,Indiana Wesleyan University-National & Global,IN,0.18181818181818182,endowment EOY,total assets,tuition & fees,,,18713.0,0.3007785346865008
